N,s,a,ns,vs
[2.01085999 3.09168188],0,0,9,[2.41164 3.15622]
[2.00612249 3.09233188],0,0,9,[2.38779 3.15949]
[2.00603499 3.09234438],0,0,9,[2.38737 3.15959]
[2.00473499 3.09251938],0,0,9,[2.38086 3.16043]
[2.00463499 3.09253188],0,0,9,[2.38036 3.1605 ]
[1.94354749 3.10124438],0,0,9,[2.38086 3.16043]
[1.94330999 3.10125688],0,0,9,[2.38737 3.15959]
[1.94255999 3.10135688],0,0,9,[2.38086 3.16043]
[1.94095999 3.10158188],0,0,9,[2.37906 3.16067]
[2.40748724 3.12329909],1,1,8,[2.44783 2.95574]
[2.40717474 3.12333659],1,1,8,[2.44783 2.95574]
[2.40647474 3.12344909],1,1,8,[2.44561 2.95606]
[2.39711224 3.12474909],1,1,8,[2.43287 2.95783]
[2.39678724 3.12478659],1,1,8,[2.43287 2.95783]
[2.39676224 3.12479909],1,1,8,[2.43279 2.95784]
[2.39521224 3.12502409],1,1,8,[2.43279 2.95784]
[2.39159974 3.12549909],1,1,8,[2.44783 2.95574]
[2.39058724 3.12564909],1,1,8,[2.44561 2.95606]
[2.38478724 3.12644909],1,1,8,[2.43287 2.95783]
[2.38476224 3.12646159],1,1,8,[2.43279 2.95784]
[1.85934436 3.10395062],2,1,7,[1.78085 3.34001]
[1.85919436 3.10397562],2,1,7,[1.78046 3.34006]
[1.85743186 3.10421312],2,1,7,[1.77551 3.34074]
[1.85654436 3.10432562],2,1,7,[1.77302 3.34107]
[1.84753186 3.10557562],2,1,7,[1.76187 3.3426 ]
[1.84713186 3.10562562],2,1,7,[1.76187 3.3426 ]
[1.84393186 3.10605062],2,1,7,[1.76196 3.34258]
[1.84374436 3.10607562],2,1,7,[1.77263 3.34113]
[1.76237816 3.30490408],2,0,7,[1.76412 3.34229]
[1.76071566 3.30512908],2,0,7,[1.76187 3.3426 ]
[1.75976566 3.30524158],2,0,7,[1.76225 3.34254]
[1.75955316 3.30526658],2,0,7,[1.76196 3.34258]
[1.75949066 3.30529158],2,0,7,[1.76187 3.3426 ]
[1.75925316 3.30532908],2,0,7,[1.76412 3.34229]
[1.75786566 3.30550408],2,0,7,[1.76225 3.34254]
[1.75764066 3.30554158],2,0,7,[1.76196 3.34258]
[1.75757816 3.30555408],2,0,7,[1.76187 3.3426 ]
[1.90854719 3.1991657 ],3,0,7,[1.78085 3.34001]
[1.90852219 3.1991782 ],3,0,7,[1.78085 3.34001]
[1.90829719 3.1992157 ],3,0,7,[1.78046 3.34006]
[1.89273469 3.2013532 ],3,0,7,[1.77264 3.34112]
[1.89267219 3.2013657 ],3,0,7,[1.77254 3.34114]
[1.88729719 3.2021032 ],3,0,7,[1.76412 3.34229]
[1.88609719 3.2022657 ],3,0,7,[1.76225 3.34254]
[1.88592219 3.2022907 ],3,0,7,[1.76196 3.34258]
[1.88585969 3.2023032 ],3,0,7,[1.76187 3.3426 ]
[2.226019   3.11085021],4,0,9,[2.41164 3.15622]
[2.225994   3.11086271],4,0,9,[2.41164 3.15622]
[2.2259065  3.11087521],4,0,9,[2.41164 3.15622]
[2.2123315  3.11272521],4,0,9,[2.38779 3.15949]
[2.1873565  3.11621271],4,0,9,[2.38036 3.1605 ]
[2.1873315  3.11622521],4,0,9,[2.38032 3.16051]
[2.1872315  3.11622521],4,0,9,[2.38036 3.1605 ]
[2.1869815  3.11625021],4,0,9,[2.37906 3.16067]
