State,Objective 0,Objective 1
0,2.02571,3.19367
0,2.02192,3.19419
0,2.02185,3.1942
0,2.02081,3.19434
0,2.02073,3.19435
0,1.97186,3.20132
0,1.97167,3.20133
0,1.97107,3.20141
0,1.96979,3.20159
1,2.11225,2.8442
1,2.112,2.84423
1,2.11144,2.84432
1,2.10395,2.84536
1,2.10369,2.84539
1,2.10367,2.8454
1,2.10243,2.84558
1,2.09954,2.84596
1,2.09873,2.84608
1,2.09409,2.84672
1,2.09407,2.84673
2,1.90667,3.16838
2,1.90655,3.1684
2,1.90514,3.16859
2,1.90443,3.16868
2,1.89722,3.16968
2,1.8969,3.16972
2,1.89434,3.17006
2,1.89419,3.17008
2,1.80667,3.18274
2,1.80534,3.18292
2,1.80458,3.18301
2,1.80441,3.18303
2,1.80436,3.18305
2,1.80417,3.18308
2,1.80306,3.18322
2,1.80288,3.18325
2,1.80283,3.18326
3,1.73129,3.43745
3,1.73127,3.43746
3,1.73109,3.43749
3,1.71864,3.4392
3,1.71859,3.43921
3,1.71429,3.4398
3,1.71333,3.43993
3,1.71319,3.43995
3,1.71314,3.43996
4,2.19812,3.04737
4,2.1981,3.04738
4,2.19803,3.04739
4,2.18717,3.04887
4,2.16719,3.05166
4,2.16717,3.05167
4,2.16709,3.05167
4,2.16689,3.05169
4,2.16686,3.0517
4,2.16669,3.05172
4,2.16666,3.05173
4,2.16657,3.05175
4,2.16656,3.05175
4,2.16646,3.05176
5,2.32065,3.4686
5,2.27103,3.47563
5,2.27074,3.47567
5,2.27059,3.47569
5,2.27041,3.47571
5,2.27018,3.47574
5,2.27012,3.47576
5,2.27004,3.47577
5,2.26991,3.47578
5,2.26939,3.47585
5,2.26936,3.47585
5,2.26932,3.47586
5,2.2693,3.47586
6,2.68575,3.36967
6,2.68529,3.36974
6,2.67803,3.37073
6,2.6779,3.37076
6,2.67757,3.3708
6,2.67745,3.37083
6,2.67579,3.37103
6,2.67563,3.37105
6,2.66047,3.37318
6,2.65929,3.37334
6,2.65913,3.37337
6,2.65869,3.37342
7,1.84514,3.43689
7,1.84501,3.43691
7,1.84489,3.43693
7,1.84475,3.43694
7,1.8443,3.43701
7,1.83877,3.43777
7,1.83865,3.43779
7,1.82232,3.44006
7,1.82209,3.44009
7,1.822,3.4401
7,1.82165,3.44016
8,2.51256,3.05257
8,2.51257,3.05256
8,2.49447,3.05509
8,2.49422,3.05513
8,2.4926,3.05534
8,2.49189,3.05545
8,2.49173,3.05547
8,2.49163,3.05548
8,2.49155,3.05549
8,2.48821,3.05595
8,2.48811,3.05596
8,2.48807,3.05597
8,2.48795,3.05598
9,2.47604,3.25327
9,2.47602,3.25328
9,2.47589,3.2533
9,2.47587,3.25331
9,2.47563,3.25333
9,2.47548,3.25335
9,2.47543,3.25336
9,2.47488,3.25344
9,2.47487,3.25345
9,2.45159,3.25676
9,2.45144,3.25678
9,2.45137,3.25679
9,2.44744,3.25733
9,2.44737,3.25735
9,2.44733,3.25735
9,2.44722,3.25736
9,2.44721,3.25736
