s,a,ns,N0,N1,vs0,vs1
0.0,0.0,19.0,1.859824851440797,3.647857116987605,3.5014,3.463
0.0,0.0,19.0,3.5771998514407963,3.0094821169876043,3.5016,3.4628
0.0,0.0,19.0,1.7374498514407968,3.654607116987605,2.3666,3.5264
0.0,0.0,19.0,1.7345748514407968,3.6548571169876047,2.3609999999999998,3.5273
0.0,0.0,19.0,1.7534498514407968,3.653482116987605,2.3582,3.5277
0.0,2.0,19.0,2.433351699446954,3.6020068495797464,2.3517,3.528
0.0,0.0,19.0,1.7344498514407969,3.654982116987605,2.3506,3.5283
0.0,0.0,19.0,1.7345748514407968,3.654982116987605,2.3497,3.5284
1.0,1.0,18.0,3.4606062353209888,3.4307842777549435,3.7413,3.4483
1.0,0.0,18.0,1.6145204847897503,3.9116548177813306,2.3113,3.8035
1.0,0.0,18.0,1.6145204847897503,3.9116548177813306,2.3113,3.8035
1.0,0.0,18.0,1.6142704847897504,3.9116548177813306,2.3091,3.8036
1.0,0.0,18.0,1.6142704847897504,3.9116548177813306,2.3091,3.8036
1.0,0.0,18.0,1.6142704847897504,3.9116548177813306,2.3091,3.8036
1.0,0.0,18.0,1.6142704847897504,3.9116548177813306,2.3091,3.8036
1.0,2.0,18.0,1.8246443821302467,3.8173626847975055,2.2992,3.8037
1.0,2.0,18.0,1.7848943821302468,3.8532376847975067,2.2989,3.8037
1.0,2.0,18.0,1.7847693821302468,3.8532376847975067,2.2984,3.8037
2.0,2.0,17.0,3.375572196300578,3.121554460459701,3.6584,2.9163
2.0,0.0,17.0,1.5244466989994727,3.6674511116521535,1.4771,3.7449
2.0,0.0,17.0,1.5309466989994729,3.667201111652155,1.4742,3.745
2.0,0.0,17.0,1.5309466989994729,3.667201111652155,1.4742,3.745
2.0,0.0,17.0,1.7059466989994727,3.6642011116521545,1.474,3.745
2.0,0.0,17.0,1.5306966989994726,3.667201111652155,1.4735,3.745
2.0,0.0,17.0,1.8146966989994724,3.6104511116521536,1.4728,3.745
2.0,2.0,17.0,1.4929471963005776,3.7303044604597013,1.4705,3.7451
2.0,2.0,17.0,1.4929471963005776,3.7303044604597013,1.4705,3.7451
2.0,2.0,17.0,1.4929471963005776,3.7303044604597013,1.4705,3.7451
2.0,2.0,17.0,1.4929471963005776,3.7303044604597013,1.4705,3.7451
2.0,2.0,17.0,1.4929471963005776,3.7303044604597013,1.4705,3.7451
2.0,2.0,17.0,1.4929471963005776,3.7303044604597013,1.4705,3.7451
2.0,2.0,17.0,1.4929471963005776,3.7303044604597013,1.4705,3.7451
2.0,2.0,17.0,1.4929471963005776,3.7303044604597013,1.4705,3.7451
0.0,0.0,19.0,3.5771998514407963,3.0094821169876043,3.5016,3.4628
3.0,1.0,19.0,1.5208088815970255,3.626757674184947,2.3480000000000003,3.5285
3.0,2.0,19.0,1.5079441893309768,3.608172695882885,2.3478,3.5286
3.0,1.0,19.0,1.5524338815970256,3.6245076741849473,2.347,3.5287
3.0,1.0,19.0,1.5203088815970256,3.626882674184947,2.3445,3.5289
4.0,2.0,18.0,3.510106788922447,3.3418119841000027,3.7412,3.4484
1.0,1.0,18.0,1.9457312353209888,3.862159277754943,2.3116,3.8034
1.0,0.0,18.0,1.6145204847897503,3.9116548177813306,2.3113,3.8035
1.0,0.0,18.0,1.6145204847897503,3.9116548177813306,2.3113,3.8035
1.0,0.0,18.0,1.6145204847897503,3.9116548177813306,2.3113,3.8035
1.0,2.0,18.0,1.8246443821302467,3.8173626847975055,2.2992,3.8037
1.0,2.0,18.0,1.7848943821302468,3.8532376847975067,2.2989,3.8037
1.0,2.0,18.0,1.7848943821302468,3.8532376847975067,2.2989,3.8037
1.0,2.0,18.0,1.7847693821302468,3.8532376847975067,2.2984,3.8037
1.0,2.0,18.0,1.7847693821302468,3.8532376847975067,2.2984,3.8037
1.0,2.0,18.0,1.7847693821302468,3.8532376847975067,2.2984,3.8037
4.0,1.0,18.0,1.6114077723020503,3.8343319519829855,2.2981,3.8037
4.0,0.0,18.0,1.735537519728705,3.8560300482587326,2.298,3.8037
2.0,2.0,17.0,3.375572196300578,3.121554460459701,3.6584,2.9163
2.0,0.0,17.0,1.5334466989994728,3.6669511116521543,1.4845,3.7441
2.0,0.0,17.0,1.5669466989994725,3.665326111652155,1.4817,3.7445
2.0,0.0,17.0,1.5244466989994727,3.6674511116521535,1.4771,3.7449
2.0,0.0,17.0,1.5244466989994727,3.6674511116521535,1.4771,3.7449
2.0,0.0,17.0,1.5604466989994727,3.665451111652154,1.4762,3.7449
2.0,0.0,17.0,1.5311966989994723,3.667201111652155,1.4756,3.7449
2.0,0.0,17.0,1.7059466989994727,3.6642011116521545,1.474,3.745
