State,Action,Objective 0,Objective 1
0.0,1.0,3.0010000000000003,2.8347
0.0,1.0,2.9982,2.8375
0.0,1.0,3.0034,2.8323
0.0,1.0,3.0006,2.8351
0.0,1.0,3.0026,2.8331
0.0,1.0,2.9986,2.8371
0.0,1.0,3.0002,2.8355
0.0,1.0,2.9994,2.8363
0.0,1.0,3.0046,2.8311
0.0,1.0,3.0022,2.8335
0.0,1.0,3.0042,2.8315
0.0,1.0,2.9998,2.8359
0.0,1.0,2.9962,2.8395
0.0,1.0,3.005,2.8307
0.0,1.0,3.0038,2.8319
0.0,1.0,2.9966,2.8391
0.0,1.0,3.003,2.8327
0.0,1.0,3.0018,2.8339
0.0,1.0,2.997,2.8387
0.0,1.0,2.9974,2.8383
0.0,1.0,2.9989999999999997,2.8367
0.0,1.0,2.9978,2.8379
0.0,1.0,3.0014,2.8343
0.0,1.0,3.0024,2.8332
0.0,1.0,3.0028,2.8328
0.0,1.0,2.9967,2.8389
0.0,1.0,3.0003,2.8353
0.0,1.0,2.9988,2.8368
0.0,1.0,3.0047,2.8309
0.0,1.0,3.0062,2.8294
0.0,1.0,3.0007,2.8349
0.0,1.0,2.998,2.8376
0.0,1.0,3.0043,2.8313
0.0,1.0,2.9963,2.8393
0.0,1.0,2.9996,2.8360000000000003
0.0,1.0,2.9984,2.8372
0.0,1.0,3.0004,2.8352
0.0,1.0,3.0044,2.8312
0.0,1.0,3.0069,2.8287
0.0,1.0,3.0058,2.8298
0.0,1.0,3.0031,2.8325
0.0,1.0,2.9975,2.8381
0.0,1.0,3.0019,2.8337
0.0,1.0,2.9995,2.8361
0.0,1.0,3.0065,2.8291
0.0,1.0,3.0036,2.832
0.0,1.0,2.9958,2.8398
0.0,1.0,3.0053,2.8303
0.0,1.0,2.9987,2.8369
0.0,1.0,2.9976,2.838
0.0,1.0,2.9992,2.8364
0.0,1.0,3.0023,2.8333
0.0,1.0,3.0012,2.8344
0.0,1.0,3.002,2.8336
0.0,1.0,3.0048,2.8308
0.0,1.0,3.0069999999999997,2.8286
0.0,1.0,2.9968,2.8388
0.0,1.0,3.0057,2.8299
0.0,1.0,3.0039,2.8317
0.0,1.0,2.9957,2.8399
0.0,1.0,3.0066,2.8289999999999997
0.0,1.0,3.0016,2.8339999999999996
0.0,1.0,3.0015,2.8341
0.0,1.0,3.0035,2.8321
0.0,1.0,3.0052,2.8304
0.0,1.0,2.9972,2.8384
0.0,1.0,3.0073,2.8283
0.0,1.0,2.9979,2.8377
0.0,1.0,3.0032,2.8324
0.0,1.0,3.0008,2.8348
0.0,1.0,3.0051,2.8305
0.0,1.0,2.9991,2.8365
0.0,1.0,3.0027,2.8329
0.0,1.0,3.0039999999999996,2.8316
0.0,1.0,2.9999,2.8357
0.0,1.0,3.0011,2.8345
0.0,1.0,3.0054,2.8302
0.0,1.0,3.0061,2.8295
0.0,1.0,2.9971,2.8385
0.0,1.0,3.0,2.8356
0.0,1.0,2.9983,2.8373
0.0,1.0,2.9964,2.8392
0.0,1.0,2.9953,2.8402
0.0,1.0,3.0089,2.8266
0.0,1.0,3.0084,2.8271
0.0,1.0,3.0086,2.8269
0.0,1.0,3.0093,2.8262
0.0,1.0,3.0071,2.8284
0.0,1.0,2.9952,2.8403
0.0,1.0,3.0085,2.827
0.0,1.0,3.0074,2.8281
0.0,1.0,3.008,2.8275
0.0,1.0,3.0059,2.8296
0.0,1.0,2.9955,2.84
0.0,1.0,3.0055,2.83
0.0,1.0,3.009,2.8265
0.0,1.0,2.9959,2.8396
0.0,1.0,3.0092,2.8263
0.0,1.0,2.9954,2.8401
0.0,1.0,3.0088,2.8267
0.0,1.0,3.0081,2.8274
0.0,1.0,3.0077,2.8278
0.0,1.0,3.0063,2.8292
0.0,1.0,3.0076,2.8279
0.0,1.0,3.0078,2.8277
0.0,1.0,3.0082,2.8273
0.0,1.0,3.0067,2.8288
0.0,1.0,3.0113,2.8241
0.0,1.0,3.0106,2.8248
0.0,1.0,3.0096,2.8258
0.0,1.0,3.0104,2.825
0.0,1.0,3.0095,2.8259
0.0,1.0,3.0098,2.8256
0.0,1.0,3.01,2.8254
0.0,1.0,3.0105,2.8249
0.0,1.0,2.9949,2.8405
0.0,1.0,2.9947,2.8407
0.0,1.0,2.995,2.8404
0.0,1.0,3.0102,2.8252
0.0,1.0,3.0103,2.8251
0.0,1.0,3.0094,2.826
0.0,1.0,3.011,2.8244
0.0,1.0,3.0107,2.8247
0.0,1.0,3.0101,2.8253
0.0,1.0,3.0099,2.8255
0.0,1.0,3.0111,2.8243
0.0,1.0,3.0112,2.8242
0.0,1.0,2.9948,2.8406
0.0,1.0,3.0109,2.8245
0.0,1.0,3.0108,2.8246
0.0,1.0,3.0097,2.8257
0.0,1.0,3.0114,2.8239
0.0,1.0,3.0122,2.8231
0.0,1.0,3.0128,2.8225
0.0,1.0,3.0134,2.8219
0.0,1.0,3.0115,2.8238
0.0,1.0,2.9944,2.8409
0.0,1.0,3.0146,2.8207
