s,a,ns,N0,N1,vs0,vs1
0,0,9,2.1458474941217824,3.385844383197302,2.5848,3.4449
0,0,9,2.2009724941217823,3.3778443831973024,2.6018,3.4425
0,0,9,2.1484724941217825,3.3854693831973024,2.5987,3.4429
0,0,9,2.1450974941217824,3.3859693831973026,2.5813,3.4454
0,1,9,2.295857031478319,3.3353342842102007,2.6016,3.4425
0,1,9,2.2961070314783187,3.3352092842101997,2.6016,3.4425
0,1,9,2.265357031478319,3.3395842842102006,2.6016,3.4425
0,1,9,2.262732031478319,3.3399592842101997,2.5848,3.4449
1,0,8,2.3479301364786087,3.4865767565390025,2.6382,3.2417
1,0,8,2.323055136478608,3.4903267565390026,2.6332,3.2425
1,0,8,2.3236801364786084,3.490201756539003,2.6332,3.2425
1,0,8,2.3476801364786084,3.486701756539002,2.6332,3.2425
1,1,8,2.5839247357779116,3.41154909119619,2.6315,3.2428
1,1,8,2.5950497357779114,3.4097990911961897,2.6332,3.2425
1,1,8,2.5952997357779117,3.40967409119619,2.6332,3.2425
1,1,8,2.5975497357779114,3.40942409119619,2.6382,3.2417
1,1,8,2.5896747357779115,3.4105490911961898,2.6382,3.2417
1,1,8,2.5876747357779117,3.4109240911961902,2.6382,3.2417
1,1,8,2.584674735777911,3.41142409119619,2.6315,3.2428
1,1,8,2.5945497357779113,3.4099240911961903,2.6315,3.2428
1,1,8,2.594299735777911,3.41004909119619,2.6315,3.2428
1,1,8,2.5972997357779115,3.40954909119619,2.6382,3.2417
1,1,8,2.584299735777911,3.41142409119619,2.6315,3.2428
2,0,7,1.9585406572116626,3.5903540824958036,1.9614,3.6275
2,0,7,1.9565406572116624,3.590604082495804,1.9588,3.6279
2,0,7,1.9654156572116626,3.589229082495804,1.9707,3.6261
2,0,7,1.9575406572116627,3.5903540824958036,1.9602,3.6277
2,0,7,1.9650406572116625,3.5893540824958037,1.9702,3.6262
2,1,7,2.042756856995881,3.39110062450405,1.9594,3.6278
2,1,7,2.0417568569958813,3.3912256245040506,1.9596,3.6277
2,1,7,2.041881856995882,3.3912256245040506,1.9602,3.6277
2,1,7,2.0492568569958816,3.39010062450405,1.9702,3.6262
2,1,7,2.0493818569958813,3.3899756245040504,1.9707,3.6261
3,0,7,2.098309687835603,3.485228204511318,1.9707,3.6261
3,0,7,2.0825596878356034,3.487728204511318,1.9602,3.6277
3,0,7,2.0980596878356033,3.4853532045113176,1.9702,3.6262
3,0,7,2.0889346878356028,3.486728204511318,1.9702,3.6262
3,0,7,2.0815596878356026,3.4878532045113184,1.9588,3.6279
3,0,7,2.090309687835603,3.4864782045113185,1.9588,3.6279
3,1,7,2.183265508502592,3.3716656122769972,1.9588,3.6279
3,1,7,2.204015508502592,3.3686656122769976,1.9707,3.6261
3,1,7,2.1841405085025922,3.3715406122769975,1.9614,3.6275
4,0,9,2.4043689970410913,3.39863771444281,2.5813,3.4454
4,0,9,2.404743997041091,3.39863771444281,2.5818,3.4453
4,0,9,2.416118997041091,3.3971377144428105,2.6018,3.4425
4,1,9,2.286016326755958,3.2037481386439013,2.5845,3.445
4,1,9,2.3026413267559573,3.2014981386439016,2.6018,3.4425
4,1,9,2.2850163267559576,3.203998138643901,2.5818,3.4453
4,1,9,2.2847663267559573,3.203998138643901,2.5813,3.4454
4,1,9,2.284891326755958,3.203998138643901,2.5818,3.4453
4,1,9,2.2846413267559575,3.203998138643901,2.5818,3.4453
4,1,9,2.2845163267559574,3.203998138643901,2.5813,3.4454
5,0,7,2.089819289155579,3.411548030350753,1.9707,3.6261
5,0,7,2.036444289155579,3.419298030350753,1.9614,3.6275
5,0,7,2.059319289155579,3.4160480303507526,1.9602,3.6277
5,0,7,2.0379442891555786,3.419048030350753,1.9707,3.6261
5,1,7,2.0492197773009466,3.4794717304133576,1.9588,3.6279
5,1,7,2.048719777300946,3.4795967304133573,1.9588,3.6279
5,1,7,2.0497197773009463,3.4793467304133574,1.9614,3.6275
5,1,7,2.0502197773009465,3.4793467304133574,1.9614,3.6275
5,1,7,2.0820947773009464,3.4747217304133575,1.9707,3.6261
6,0,9,2.4422635596299522,3.3813666706201904,2.5813,3.4454
6,0,9,2.443263559629952,3.3812416706201907,2.5848,3.4449
6,0,9,2.4418885596299518,3.3814916706201905,2.5813,3.4454
6,0,9,2.442513559629952,3.3812416706201907,2.5818,3.4453
6,0,9,2.451888559629952,3.3799916706201905,2.6018,3.4425
6,0,9,2.4421385596299516,3.3813666706201904,2.5818,3.4453
6,1,9,2.3178197357877774,3.464931520958897,2.5813,3.4454
6,1,9,2.3349447357877775,3.4624315209588974,2.6015,3.4426
6,1,9,2.3243197357877774,3.4640565209588967,2.5989,3.4429
6,1,9,2.3190697357877776,3.464681520958897,2.5848,3.4449
6,1,9,2.3358197357877772,3.462181520958897,2.6018,3.4425
6,1,9,2.3356947357877775,3.462306520958897,2.6015,3.4426
6,1,9,2.317944735787777,3.464931520958897,2.5818,3.4453
7,0,9,2.283961975544289,3.4846968707132335,2.6018,3.4425
7,0,9,2.272336975544289,3.486321870713233,2.5818,3.4453
7,0,9,2.284211975544289,3.4845718707132334,2.6018,3.4425
7,1,9,2.1370664577086873,3.528865468743685,2.6018,3.4425
7,1,9,2.1265664577086874,3.530490468743684,2.5813,3.4454
7,1,9,2.1266914577086875,3.530490468743684,2.5818,3.4453
7,1,9,2.127316457708687,3.5303654687436845,2.5848,3.4449
8,0,7,2.1331380873118726,3.435418393783728,1.9707,3.6261
8,0,7,2.1245130873118727,3.436668393783729,1.9707,3.6261
8,0,7,2.132763087311872,3.4355433937837287,1.9707,3.6261
8,0,7,2.1198880873118724,3.437418393783729,1.9594,3.6278
8,0,7,2.1201380873118723,3.4372933937837282,1.9602,3.6277
8,0,7,2.1196380873118725,3.437418393783729,1.9588,3.6279
8,1,7,2.123903607561908,3.397230461242421,1.9702,3.6262
8,1,7,2.122528607561908,3.397355461242421,1.9602,3.6277
8,1,7,2.122403607561908,3.397355461242421,1.9596,3.6277
8,1,7,2.148153607561908,3.3937304612424213,1.9707,3.6261
8,1,7,2.1226536075619085,3.397355461242421,1.9614,3.6275
9,0,8,2.4237488403980203,3.3098429101282836,2.6332,3.2425
9,0,8,2.42287384039802,3.309967910128284,2.6332,3.2425
9,0,8,2.4262488403980202,3.309467910128284,2.6382,3.2417
9,0,8,2.4023738403980204,3.312967910128284,2.6315,3.2428
9,0,8,2.4271238403980204,3.309342910128284,2.6382,3.2417
9,0,8,2.42174884039802,3.310217910128284,2.6315,3.2428
9,0,8,2.4034988403980204,3.312842910128284,2.6332,3.2425
9,0,8,2.42274884039802,3.310092910128284,2.6315,3.2428
9,0,8,2.40674884039802,3.312342910128284,2.6382,3.2417
9,1,8,2.4368896533197604,3.2989446063187904,2.6382,3.2417
9,1,8,2.43288965331976,3.2996946063187904,2.6315,3.2428
9,1,8,2.43388965331976,3.29944460631879,2.6332,3.2425
