N,s,a,ns,vs
[2.47437762 2.76744022],0,0,7,[2.8829 2.9132]
[2.46812762 2.77006522],0,0,7,[2.8599 2.923 ]
[2.46850262 2.76969022],0,0,7,[2.8612 2.9217]
[2.46825262 2.76994022],0,0,7,[2.8602 2.9229]
[2.46787762 2.77019022],0,0,7,[2.8592 2.9237]
[2.46400262 2.77344022],0,0,7,[2.8448 2.9351]
[2.46425262 2.77306522],0,0,7,[2.8459 2.9343]
[2.46587762 2.77094022],0,0,7,[2.8517 2.9263]
[2.12862762 2.89806522],0,0,7,[2.3001 3.1342]
[2.11400262 2.91144022],0,0,7,[2.3001 3.1342]
[2.11262762 2.91256522],0,0,7,[2.3001 3.1342]
[2.11025262 2.91294022],0,0,7,[2.3001 3.1342]
[2.10962762 2.91319022],0,0,7,[2.3001 3.1342]
[2.13725262 2.87956522],0,0,7,[2.3001 3.1342]
[2.13737762 2.87944022],0,0,7,[2.3001 3.1342]
[2.13600262 2.88056522],0,0,7,[2.3001 3.1342]
[2.09600262 2.91944022],0,0,7,[2.1906 3.1654]
[2.08175262 2.92144022],0,0,7,[2.1903 3.1658]
[2.08025262 2.92156522],0,0,7,[2.1901 3.1661]
[2.07975262 2.92169022],0,0,7,[2.1901 3.1661]
[2.07875262 2.92194022],0,0,7,[2.1903 3.1658]
[2.07862762 2.92206522],0,0,7,[2.1903 3.1658]
[2.07225262 2.92219022],0,0,7,[2.1607 3.1681]
[2.07212762 2.92219022],0,0,7,[2.1607 3.1681]
[2.07175262 2.92219022],0,0,7,[2.1609 3.1678]
[2.07050262 2.92281522],0,0,7,[2.1607 3.1681]
[2.07075262 2.92256522],0,0,7,[2.1609 3.1678]
[2.40019131 2.84638364],1,0,4,[2.2952 2.6478]
[2.39094131 2.84713364],1,0,4,[2.2609 2.6501]
[2.40219131 2.83575864],1,0,4,[2.3025 2.6084]
[2.37831631 2.85888364],1,0,4,[2.2952 2.6478]
[2.37856631 2.85863364],1,0,4,[2.2952 2.6478]
[2.40306631 2.82938364],1,0,4,[2.2952 2.6478]
[2.36931631 2.85925864],1,0,4,[2.2609 2.6501]
[2.38056631 2.84800864],1,0,4,[2.3025 2.6084]
[2.38031631 2.84825864],1,0,4,[2.3025 2.6084]
[2.36894131 2.85963364],1,0,4,[2.2609 2.6501]
[2.40506631 2.81875864],1,0,4,[2.3025 2.6084]
[2.31344131 2.88913364],1,0,4,[1.9757 2.8051]
[2.31369131 2.88850864],1,0,4,[1.9762 2.803 ]
[2.29156631 2.90163364],1,0,4,[1.9757 2.8051]
[2.29194131 2.90125864],1,0,4,[1.9757 2.8051]
[2.29206631 2.90075864],1,0,4,[1.9762 2.803 ]
[2.32506631 2.86725864],1,0,4,[2.0979 2.6793]
[2.32481631 2.86750864],1,0,4,[2.0979 2.6793]
[2.32469131 2.86763364],1,0,4,[2.0975 2.6797]
[2.32581631 2.86638364],1,0,4,[2.1005 2.6765]
[2.32544131 2.86675864],1,0,4,[2.1005 2.6765]
[2.17969131 2.92300864],1,0,4,[2.0975 2.6797]
[2.14981631 2.95288364],1,0,4,[1.9762 2.803 ]
[2.14994131 2.95275864],1,0,4,[1.9762 2.803 ]
[2.18031631 2.92225864],1,0,4,[2.0936 2.6814]
[2.18044131 2.92213364],1,0,4,[2.1005 2.6765]
[2.18056631 2.92188364],1,0,4,[2.0975 2.6797]
[2.18069131 2.92175864],1,0,4,[2.0979 2.6793]
[2.17856631 2.92363364],1,0,4,[2.0935 2.682 ]
[2.17881631 2.92325864],1,0,4,[2.0944 2.6805]
[2.17894131 2.92313364],1,0,4,[2.0945 2.6802]
[2.17869131 2.92338364],1,0,4,[2.094  2.6813]
[2.13069131 2.96638364],1,0,4,[1.8301 2.8701]
[2.13531631 2.96150864],1,0,4,[1.8301 2.8701]
[2.13794131 2.95825864],1,0,4,[1.9757 2.8051]
[2.13756631 2.95850864],1,0,4,[1.9757 2.8051]
[2.13856631 2.95725864],1,0,4,[1.9757 2.8051]
[2.13831631 2.95750864],1,0,4,[1.9757 2.8051]
[2.13844131 2.95738364],1,0,4,[1.9757 2.8051]
[2.13806631 2.95763364],1,0,4,[1.9757 2.8051]
[2.13881631 2.95663364],1,0,4,[1.9762 2.803 ]
[2.11994131 2.96925864],1,0,4,[1.8301 2.8701]
[2.11569131 2.97063364],1,0,4,[1.8301 2.8701]
[2.10881631 2.97325864],1,0,4,[1.8301 2.8701]
[2.10944131 2.97238364],1,0,4,[1.8301 2.8701]
[2.10706631 2.97463364],1,0,4,[1.8301 2.8701]
[2.10794131 2.97350864],1,0,4,[1.8301 2.8701]
[2.11006631 2.97113364],1,0,4,[1.8301 2.8701]
[2.11019131 2.97088364],1,0,4,[1.8301 2.8701]
[2.09844131 2.97575864],1,0,4,[1.8301 2.8701]
[2.09894131 2.97500864],1,0,4,[1.8301 2.8701]
[2.09856631 2.97525864],1,0,4,[1.8301 2.8701]
[2.09319131 2.97663364],1,0,4,[1.7789 2.8773]
[2.08469131 2.97775864],1,0,4,[1.7793 2.8768]
[2.08444131 2.97788364],1,0,4,[1.7794 2.8766]
[2.08519131 2.97688364],1,0,4,[1.7793 2.8768]
[2.68452974 2.95795847],2,1,8,[2.738  3.1303]
[2.68465474 2.95745847],2,1,8,[2.7384 3.1284]
[2.67715474 2.96133347],2,1,8,[2.738  3.1303]
[2.67740474 2.96095847],2,1,8,[2.738  3.1303]
[2.67765474 2.96058347],2,1,8,[2.738  3.1303]
[2.67777974 2.96045847],2,1,8,[2.738  3.1303]
[2.67802974 2.95995847],2,1,8,[2.7384 3.1284]
[2.40027974 3.05245847],2,1,8,[2.745 3.089]
[2.40015474 3.05258347],2,1,8,[2.7446 3.0894]
[2.40040474 3.05195847],2,1,8,[2.7453 3.0873]
[2.40177974 3.04945847],2,1,8,[2.7448 3.0892]
[2.40202974 3.04883347],2,1,8,[2.7453 3.0873]
[2.36327974 3.07620847],2,1,8,[2.738  3.1303]
[2.36365474 3.07545847],2,1,8,[2.7384 3.1284]
[2.36490474 3.07320847],2,1,8,[2.738  3.1303]
[2.36502974 3.07295847],2,1,8,[2.738  3.1303]
[2.36515474 3.07258347],2,1,8,[2.7384 3.1284]
[2.36515474 3.07245847],2,1,8,[2.7384 3.1284]
[2.35415474 3.07683347],2,1,8,[2.738  3.1303]
[2.29905637 2.80642148],3,1,8,[2.738  3.1303]
[2.08355637 2.88179648],3,1,8,[2.7448 3.0892]
[2.08293137 2.88192148],3,1,8,[2.7451 3.0875]
[2.08280637 2.88204648],3,1,8,[2.7446 3.0894]
[2.06555637 2.89254648],3,1,8,[2.738  3.1303]
[2.06518137 2.89279648],3,1,8,[2.7384 3.1284]
[2.06593137 2.88854648],3,1,8,[2.7451 3.0875]
[2.46769494 2.8887659 ],3,0,8,[2.738  3.1303]
[2.46931994 2.8793909 ],3,0,8,[2.738  3.1303]
[2.46956994 2.8768909 ],3,0,8,[2.7446 3.0894]
[2.46969494 2.8767659 ],3,0,8,[2.745 3.089]
[2.46981994 2.8762659 ],3,0,8,[2.7453 3.0873]
[2.63905944 2.9016235 ],4,1,9,[2.3543 2.6419]
[2.63955944 2.8989985 ],4,1,9,[2.356  2.6322]
[2.63205944 2.9047485 ],4,1,9,[2.3543 2.6419]
[2.63255944 2.9041235 ],4,1,9,[2.3543 2.6419]
[2.63243444 2.9042485 ],4,1,9,[2.3543 2.6419]
[2.62768444 2.9081235 ],4,1,9,[2.3543 2.6419]
[2.62730944 2.9082485 ],4,1,9,[2.3543 2.6419]
[2.62955944 2.9056235 ],4,1,9,[2.3543 2.6419]
[2.64864765 2.88718239],4,0,9,[2.3543 2.6419]
[2.64927265 2.88430739],4,0,9,[2.356  2.6322]
[2.33739765 3.01018239],4,0,9,[2.291  2.6786]
[2.33414765 3.01180739],4,0,9,[2.291  2.6786]
[2.32752265 3.01330739],4,0,9,[2.291  2.6786]
[2.32777265 3.01293239],4,0,9,[2.291  2.6786]
[2.32852265 3.01218239],4,0,9,[2.291  2.6786]
[2.32502265 3.01405739],4,0,9,[2.291  2.6786]
[2.32514765 3.01368239],4,0,9,[2.291  2.6786]
[2.32177265 3.01580739],4,0,9,[2.291  2.6786]
