State,Objective 0,Objective 1
0,2.5303,2.9221
0,2.5253,2.9242
0,2.5256,2.9239
0,2.5254,2.9241
0,2.5251,2.9243
0,2.522,2.9269
0,2.5222,2.9266
0,2.5235,2.9249
0,2.2537,3.0266
0,2.242,3.0373
0,2.2409,3.0382
0,2.239,3.0385
0,2.2385,3.0387
0,2.2606,3.0118
0,2.2607,3.0117
0,2.2596,3.0126
0,2.2276,3.0437
0,2.2162,3.0453
0,2.215,3.0454
0,2.2146,3.0455
0,2.2138,3.0457
0,2.2137,3.0458
0,2.2086,3.0459
0,2.2085,3.0459
0,2.2082,3.0459
0,2.2072,3.0464
0,2.2074,3.0462
1,2.8131,3.1734
1,2.8057,3.174
1,2.8147,3.1649
1,2.7956,3.1834
1,2.7958,3.1832
1,2.8154,3.1598
1,2.7884,3.1837
1,2.7974,3.1747
1,2.7972,3.1749
1,2.7881,3.184
1,2.817,3.1513
1,2.7437,3.2076
1,2.7439,3.2071
1,2.7262,3.2176
1,2.7265,3.2173
1,2.7266,3.2169
1,2.753,3.1901
1,2.7528,3.1903
1,2.7527,3.1904
1,2.7536,3.1894
1,2.7533,3.1897
1,2.6367,3.2347
1,2.6128,3.2586
1,2.6129,3.2585
1,2.6372,3.2341
1,2.6373,3.234
1,2.6374,3.2338
1,2.6375,3.2337
1,2.6358,3.2352
1,2.636,3.2349
1,2.6361,3.2348
1,2.6359,3.235
1,2.5975,3.2694
1,2.6012,3.2655
1,2.6033,3.2629
1,2.603,3.2631
1,2.6038,3.2621
1,2.6036,3.2623
1,2.6037,3.2622
1,2.6034,3.2624
1,2.604,3.2616
1,2.5889,3.2717
1,2.5855,3.2728
1,2.58,3.2749
1,2.5805,3.2742
1,2.5786,3.276
1,2.5793,3.2751
1,2.581,3.2732
1,2.5811,3.273
1,2.5717,3.2769
1,2.5721,3.2763
1,2.5718,3.2765
1,2.5675,3.2776
1,2.5607,3.2785
1,2.5605,3.2786
1,2.5611,3.2778
2,2.1775,2.8232
2,2.1776,2.8228
2,2.1716,2.8259
2,2.1718,2.8256
2,2.172,2.8253
2,2.1721,2.8252
2,2.1723,2.8248
2,1.9501,2.8988
2,1.95,2.8989
2,1.9502,2.8984
2,1.9513,2.8964
2,1.9515,2.8959
2,1.9205,2.9178
2,1.9208,2.9172
2,1.9218,2.9154
2,1.9219,2.9152
2,1.922,2.9149
2,1.922,2.9148
2,1.9132,2.9183
3,2.5155,2.836
3,2.3431,2.8963
3,2.3426,2.8964
3,2.3425,2.8965
3,2.3287,2.9049
3,2.3284,2.9051
3,2.329,2.9017
3,2.6233,2.5895
3,2.6246,2.582
3,2.6248,2.58
3,2.6249,2.5799
3,2.625,2.5795
4,2.3705,2.7364
4,2.3709,2.7343
4,2.3649,2.7389
4,2.3653,2.7384
4,2.3652,2.7385
4,2.3614,2.7416
4,2.3611,2.7417
4,2.3629,2.7396
4,2.1429,2.8686
4,2.1434,2.8663
4,1.8939,2.967
4,1.8913,2.9683
4,1.886,2.9695
4,1.8862,2.9692
4,1.8868,2.9686
4,1.884,2.9701
4,1.8841,2.9698
4,1.8814,2.9715
4,1.8817,2.9712
4,1.882,2.9709
4,1.8791,2.9724
4,1.8729,2.9724
4,1.8713,2.9729
5,1.967,2.8629
5,1.9671,2.8628
5,1.9662,2.8633
5,1.9663,2.8632
5,1.9672,2.862
5,1.9673,2.8619
5,1.961,2.8664
5,1.9611,2.8663
5,1.9602,2.8668
5,1.9603,2.8667
5,1.9678,2.859
5,2.0616,2.6086
5,2.0626,2.6039
5,2.0634,2.5966
5,2.0634,2.5965
5,2.0633,2.5965
5,2.194,2.3099
5,2.1944,2.3075
5,2.1783,2.3189
5,2.1958,2.2997
5,2.1959,2.2996
5,2.185,2.3105
5,2.1985,2.2843
5,2.1986,2.2842
5,2.2006,2.2649
5,2.2353,2.1881
5,2.2351,2.1883
5,2.2243,2.1991
5,2.2399,2.1536
5,2.2399,2.1535
6,2.5921,3.12
6,2.5922,3.1195
6,2.5814,3.1259
6,2.5812,3.1261
6,2.5811,3.1262
6,2.5807,3.1264
6,2.5808,3.1263
6,2.5828,3.1243
6,2.5829,3.1242
6,2.5806,3.1265
6,2.5796,3.1273
6,2.5802,3.1266
6,2.583,3.1237
6,2.5798,3.1268
6,2.4147,3.1898
6,2.415,3.1892
6,2.4134,3.1904
6,2.4136,3.1902
6,2.4139,3.1898
6,2.4138,3.1899
6,2.3854,3.2107
6,2.3813,3.2125
6,2.3811,3.2126
6,2.381,3.2127
6,2.3814,3.2122
6,2.3821,3.2115
6,2.3815,3.2121
6,2.3816,3.212
6,2.3812,3.2122
6,2.3813,3.2121
7,2.958,3.0017
7,2.8909,3.0171
7,2.8927,3.0152
7,2.8922,3.0154
7,2.8915,3.0158
7,2.8537,3.0528
7,2.8524,3.0538
7,2.8455,3.0557
7,2.841,3.0571
7,2.8409,3.0571
7,2.8404,3.0574
7,2.3754,3.2226
7,2.3757,3.2209
7,2.3636,3.2295
7,2.3769,3.2149
7,2.3769,3.2148
7,2.3686,3.2231
7,2.3789,3.2033
7,2.3805,3.1887
7,2.2596,3.2731
7,2.2597,3.2729
7,2.258,3.2733
7,2.2577,3.2735
7,2.2579,3.2733
7,2.2578,3.2734
7,2.258,3.2732
7,2.2571,3.2739
7,2.2557,3.2744
7,2.2556,3.2745
7,2.2534,3.2752
7,2.2533,3.2753
7,2.2539,3.2746
7,2.2537,3.2748
7,2.4104,3.1165
7,2.2513,3.2755
7,2.4102,3.1165
7,2.412,3.1018
7,2.412,3.1017
7,2.4118,3.1019
7,2.4118,3.1018
7,2.4117,3.1019
8,2.813,3.2188
8,2.8124,3.2192
8,2.8916,2.9806
8,2.8919,2.9794
8,2.892,2.9791
8,2.8922,2.9786
8,2.8924,2.9778
8,2.8925,2.9767
8,2.8925,2.9762
8,2.8927,2.9759
8,2.8927,2.9758
9,2.4295,2.7302
9,2.4294,2.7303
9,2.4297,2.7281
9,2.4298,2.728
9,2.4149,2.7387
9,2.5015,2.5078
9,2.5016,2.5076
9,2.5017,2.5074
9,2.5018,2.5058
9,2.502,2.5056
9,2.5019,2.5057
9,2.5018,2.5057
