State,Action,Objective 0,Objective 1
0,0,3.0781,3.4241
0,0,1.7773,3.8735
0,0,1.7622,3.8747
0,0,1.7645,3.8744
0,0,1.7457,3.9074
0,0,1.8975,3.8361
0,0,1.7649,3.8744
0,0,1.7625,3.8746
0,0,1.7649,3.8743
0,0,1.7629,3.8746
0,0,1.8612,3.8691
0,0,3.2363,3.3583
0,0,1.9005,3.8352
0,0,3.2366,3.3579
0,0,1.7636,3.8745
0,0,3.2364,3.3582
0,0,1.7622,3.8746
0,0,3.2404,3.3566
0,0,3.0781,3.4239
0,0,3.0092,3.4402
0,0,1.7792,3.8728
0,0,1.764,3.8745
0,0,1.7626,3.8746
0,0,3.2393,3.3576
0,0,1.8937,3.8395
0,0,1.8955,3.8394
0,0,3.2726,3.2875
0,0,3.2711,3.2906
0,0,3.2724,3.2876
0,0,3.2403,3.3567
0,0,1.7797,3.873
0,0,1.7621,3.8747
0,0,1.882,3.8403
0,0,3.2399,3.3572
0,0,3.2396,3.3575
0,0,1.8624,3.869
0,0,3.2721,3.2897
0,0,1.7781,3.8732
0,0,1.7624,3.8746
0,0,3.2397,3.3574
0,0,1.8628,3.869
0,0,3.2679,3.2914
0,0,1.7628,3.8746
0,0,3.24,3.3569
0,0,3.2722,3.2895
0,0,1.7465,3.907
0,0,1.7746,3.8742
0,0,3.0085,3.4403
0,0,1.7804,3.8726
0,0,1.7641,3.8744
0,0,1.7635,3.8746
0,0,1.8806,3.8406
0,0,1.7635,3.8745
0,0,3.2675,3.2918
0,0,1.7621,3.8746
0,0,1.7639,3.8745
0,0,3.2365,3.3582
0,0,3.1385,3.4006
0,0,3.2368,3.3578
0,0,3.1379,3.4014
0,0,3.0782,3.4239
0,0,1.8985,3.8358
0,0,3.2721,3.2896
0,0,3.2719,3.2898
0,0,1.7646,3.8743
0,0,3.0097,3.4395
0,0,3.2361,3.3586
0,0,3.2361,3.3585
0,0,3.273,3.2871
0,0,1.7783,3.8731
0,0,3.273,3.287
0,0,1.7463,3.907
0,0,3.2715,3.2902
0,0,3.2367,3.3578
0,0,1.7633,3.8746
0,0,1.7752,3.8741
0,0,1.7637,3.8746
0,0,1.7637,3.8745
0,0,1.8753,3.868
0,0,1.8812,3.8406
0,0,1.7474,3.9069
0,0,1.7641,3.8745
0,0,3.2685,3.2908
0,0,3.2723,3.2877
0,0,3.0097,3.4394
0,0,3.2398,3.3573
0,0,3.268,3.2914
0,0,1.7745,3.8742
0,0,3.2683,3.291
0,0,1.7634,3.8745
0,0,3.2676,3.2918
0,0,1.8812,3.8405
0,0,3.0782,3.4234
0,0,1.7453,3.9074
0,0,3.2369,3.3577
0,0,1.7478,3.9068
0,0,3.2685,3.2907
0,0,1.8993,3.8354
0,0,3.1381,3.4011
0,0,3.2727,3.2874
0,0,1.7655,3.8742
0,0,3.2725,3.2876
0,0,1.7632,3.8746
0,0,1.7772,3.8735
0,0,1.8638,3.8689
0,0,1.7473,3.9069
0,0,1.7754,3.8741
0,0,1.883,3.8402
0,0,1.7763,3.8737
0,0,1.8804,3.8406
0,0,1.7825,3.8722
0,0,1.7761,3.8739
0,0,1.7335,3.9079
0,0,1.7657,3.8742
0,0,1.8746,3.8681
0,0,1.7343,3.9078
0,0,1.7623,3.8747
0,0,1.7353,3.9076
0,0,1.898,3.8361
0,0,3.2685,3.2906
0,0,3.0736,3.4251
0,0,3.073,3.4253
0,0,3.2362,3.3584
0,0,1.7333,3.9079
0,0,3.0736,3.425
0,0,1.763,3.8746
0,0,3.2402,3.3568
0,0,3.2733,3.2869
0,0,3.236,3.3586
0,0,3.2678,3.2915
0,0,3.0777,3.4242
0,0,1.7341,3.9078
0,0,1.7647,3.8744
0,0,1.7623,3.8746
0,0,1.7627,3.8746
0,0,1.7631,3.8746
0,0,3.2729,3.2871
0,0,1.779,3.873
0,1,3.5463,3.2123
0,1,3.5464,3.2122
0,1,3.5461,3.2125
0,1,2.249,3.6092
0,1,2.244,3.6095
0,1,2.078,3.6173
0,1,2.071,3.6175
0,1,2.1281,3.6165
0,1,2.089,3.6167
0,1,2.0741,3.6175
0,1,2.0845,3.6169
0,1,2.0844,3.617
0,1,2.1219,3.6167
0,1,2.0763,3.6173
0,1,2.077,3.6173
0,1,2.0749,3.6175
0,1,2.0848,3.6169
0,1,2.0752,3.6175
0,1,2.0713,3.6175
0,1,2.0709,3.6175
0,1,3.5462,3.2124
0,1,2.0762,3.6173
0,1,2.0717,3.6175
0,1,3.5462,3.2123
0,1,2.0748,3.6175
0,1,2.0712,3.6175
0,1,2.0766,3.6173
0,1,2.1267,3.6166
0,1,2.151,3.6104
0,1,2.2893,3.6088
0,1,2.0782,3.6172
0,1,2.0716,3.6175
0,1,2.0813,3.6172
0,1,2.072,3.6175
0,1,2.1226,3.6167
0,1,2.0708,3.6175
0,1,3.546,3.2126
0,1,2.1378,3.6142
0,1,2.0781,3.6172
0,1,2.0773,3.6173
0,1,2.0769,3.6173
0,1,2.0731,3.6175
0,1,2.0891,3.6167
0,1,2.083,3.6171
0,1,2.0755,3.6175
0,1,2.0707,3.6175
0,1,2.0826,3.6171
0,1,2.0768,3.6173
0,1,2.0895,3.6167
0,1,2.0814,3.6171
0,1,2.0747,3.6175
0,1,2.0772,3.6173
0,1,2.0751,3.6175
0,1,2.0715,3.6175
0,1,2.0758,3.6175
0,1,2.0746,3.6175
0,1,2.141,3.6141
0,1,2.0719,3.6175
0,1,2.0711,3.6175
0,1,2.0762,3.6174
0,1,2.0714,3.6175
0,1,2.073,3.6175
0,1,2.0767,3.6173
0,1,2.0718,3.6175
0,2,2.9508,2.7602
0,2,1.427,3.1338
0,2,2.127,3.0308
0,2,1.5758,3.1254
0,2,1.5783,3.1252
0,2,1.4398,3.1318
0,2,1.4356,3.1335
0,2,1.4271,3.1338
0,2,1.4312,3.1338
0,2,2.9511,2.76
0,2,1.434,3.1336
0,2,2.1051,3.0376
0,2,1.4357,3.1335
0,2,1.9645,3.0454
0,2,1.5779,3.1254
0,2,1.4265,3.1338
0,2,1.7829,3.1156
0,2,1.4269,3.1338
0,2,1.9689,3.0397
0,2,2.9511,2.7599
0,2,2.1056,3.0374
0,2,2.9509,2.7602
0,2,2.1768,2.9214
0,2,1.9707,3.0434
0,2,2.1963,2.9157
0,2,1.4266,3.1338
0,2,2.1007,3.0431
0,2,1.5658,3.1314
0,2,1.4355,3.1334
0,2,2.1761,2.9215
0,2,1.5754,3.1255
0,2,1.4375,3.1334
0,2,2.9499,2.7614
0,2,1.4399,3.1318
0,2,2.9502,2.761
