Value0,Value1,Rollout,Runtime,Method
2.987382367593555,2.5673068097260563,0,4.821613311767578,ls
2.566372668420802,2.992047470906541,1,5.2005228996276855,ls
3.0777867161362042,2.7357550420187975,2,5.181116580963135,ls
2.607283308843012,2.7195478824305748,3,5.084379196166992,ls
2.8212698114191883,2.2836723909183774,4,5.012949705123901,ls
3.0049450909274382,2.353165873968303,5,5.790996789932251,ls
2.6738374458010843,3.250486979096941,6,5.7522337436676025,ls
2.480891582444483,3.0576111756961146,7,5.38315486907959,ls
2.670990300548074,2.9205068315857803,8,6.394704341888428,ls
2.9166461235322454,3.066538734873689,9,4.869964599609375,ls
2.6221031944443682,2.553335746985,10,6.2656331062316895,ls
2.5725176308647693,2.7728538337255237,11,5.473185300827026,ls
2.4207098177588335,3.2257053193907734,12,5.634603261947632,ls
2.6035759537793965,2.882464117252475,13,5.7525575160980225,ls
2.313702751955274,3.210875394842988,14,5.977354288101196,ls
2.561217911646645,2.8917044863936536,15,5.5886147022247314,ls
2.1691889730143434,3.1890925296042543,16,5.213398218154907,ls
2.482019558409298,2.783808747098935,17,5.856992483139038,ls
2.5250227171008457,3.0579966991980583,18,5.080443382263184,ls
2.8063529543165666,2.6074012409524565,19,5.422857999801636,ls
2.569312869255388,2.6063235396602407,20,4.987510442733765,ls
2.4552244138697183,2.7917605296744394,21,5.472957134246826,ls
2.415736498968458,2.9306194920763353,22,5.481762409210205,ls
2.490898638652439,2.441158098597967,23,5.443059921264648,ls
2.7987065403352696,2.564973517519871,24,5.781057834625244,ls
2.603765094999177,2.5300195866779807,25,5.747467517852783,ls
2.6441027096114564,2.7102705883197777,26,5.528784275054932,ls
2.850994577583459,2.50525113553409,27,7.059277534484863,ls
2.9204031724149884,2.679324003779643,28,6.243908882141113,ls
3.015540519896041,2.3047597118672356,29,5.203421354293823,ls
2.3944783833116396,3.0656135689266666,30,5.003678321838379,ls
2.5956131489353673,3.157704923196466,31,5.603751182556152,ls
2.7211663935126964,3.011673307046872,32,5.5649800300598145,ls
3.09668609441052,2.9352275673188792,33,6.566563129425049,ls
2.4283571070119523,3.3409113701050286,34,5.435397386550903,ls
2.970153650309274,2.5861395982881077,35,7.571163892745972,ls
3.070502608705351,2.339544879077445,36,5.78374171257019,ls
2.126154003696132,3.10407292933838,37,5.009813070297241,ls
3.1703449157682315,2.7717093211041934,38,5.036141633987427,ls
2.4754922159977033,3.254437275663698,39,6.328178882598877,ls
2.8295133767337464,2.6166303944807647,40,5.0967888832092285,ls
2.4191868220581,3.2520127451583316,41,5.107738494873047,ls
2.632178277914144,3.3029496752925205,42,5.5102691650390625,ls
2.7584393683797956,2.9059278998951825,43,6.323742866516113,ls
2.2719237351479062,3.4465099195685545,44,5.283778190612793,ls
2.40957990059873,3.026842423931166,45,6.0351104736328125,ls
2.3086069953583275,3.1150629779740737,46,5.461532115936279,ls
2.653807096142931,2.587688998354072,47,5.689814329147339,ls
2.504733877134126,2.7157764003583647,48,5.6104655265808105,ls
2.8035256073163954,2.5347526514893337,49,5.024694204330444,ls
2.9490300450647036,2.6412636887375296,50,5.35103440284729,ls
2.903974395383002,2.463776953948675,51,5.473945140838623,ls
2.7393259537559436,2.655482410465913,52,5.976745128631592,ls
2.3586323509829294,3.1803115181919277,53,4.9583680629730225,ls
2.58989754534941,2.7061494403416497,54,5.422243595123291,ls
2.4818223487467312,2.7273860071272664,55,5.879184722900391,ls
2.6310084731079546,2.9167983692041783,56,6.127203702926636,ls
2.9315700621519953,2.9645888672516394,57,7.355388164520264,ls
2.6713846477118497,2.741581878445357,58,5.992790222167969,ls
2.7694008988918677,2.9123643305673537,59,5.533825635910034,ls
2.749299750387125,2.83522337550399,60,6.115771770477295,ls
2.241319834247209,2.874815458372389,61,5.512811899185181,ls
